"","Date","Region","Value","lat","long"
"70",2010-01-25,"HEVES",33,47.7884409,20.1714412
"71",2010-01-25,"JÁSZ-NAGYKUN-SZOLNOK",54,47.2971598,20.453178
"72",2010-01-25,"KOMÁROM-ESZTERGOM",33,47.6511599,18.2551911
"73",2010-01-25,"NÓGRÁD",23,47.9873616,19.5472495
"74",2010-01-25,"PEST",96,47.4942216,19.0529846
"75",2010-01-25,"SOMOGY",41,46.439656,17.6212956
"76",2010-01-25,"SZABOLCS-SZATMÁR-BEREG",14,48.0297821,22.0040108
"77",2010-01-25,"TOLNA",9,46.4883447,18.5050005
"78",2010-01-25,"VAS",40,47.1371935,16.780898
"79",2010-01-25,"VESZPRÉM",35,47.0933824,17.9080406
"80",2010-01-25,"ZALA",15,46.6713343,16.8894692
"81",2010-02-01,"BUDAPEST",56,47.4978789,19.0402383
"82",2010-02-01,"BARANYA",50,45.9714436,18.1669246
"83",2010-02-01,"BÁCS-KISKUN",26,46.5809294,19.5128532
"84",2010-02-01,"BÉKÉS",12,46.7862993,20.9820736
"85",2010-02-01,"BORSOD-ABAÚJ-ZEMPLÉN",59,48.2397936,21.1353474
"86",2010-02-01,"CSONGRÁD",4,46.7097618,20.1537305
"87",2010-02-01,"FEJÉR",46,47.0939434,18.6088562
"88",2010-02-01,"GYOR-MOSON-SOPRON",43,47.6610134,17.3796437
"89",2010-02-01,"HAJDÚ-BIHAR",31,47.4407848,21.4752281
"90",2010-02-01,"HEVES",40,47.7884409,20.1714412
"91",2010-02-01,"JÁSZ-NAGYKUN-SZOLNOK",54,47.2971598,20.453178
"92",2010-02-01,"KOMÁROM-ESZTERGOM",22,47.6511599,18.2551911
"93",2010-02-01,"NÓGRÁD",12,47.9873616,19.5472495
"94",2010-02-01,"PEST",99,47.4942216,19.0529846
"95",2010-02-01,"SOMOGY",59,46.439656,17.6212956
"96",2010-02-01,"SZABOLCS-SZATMÁR-BEREG",22,48.0297821,22.0040108
"97",2010-02-01,"TOLNA",15,46.4883447,18.5050005
"98",2010-02-01,"VAS",35,47.1371935,16.780898
"99",2010-02-01,"VESZPRÉM",43,47.0933824,17.9080406
"100",2010-02-01,"ZALA",2,46.6713343,16.8894692
"101",2010-02-08,"BUDAPEST",46,47.4978789,19.0402383
"102",2010-02-08,"BARANYA",47,45.9714436,18.1669246
"103",2010-02-08,"BÁCS-KISKUN",82,46.5809294,19.5128532
"104",2010-02-08,"BÉKÉS",12,46.7862993,20.9820736
"105",2010-02-08,"BORSOD-ABAÚJ-ZEMPLÉN",42,48.2397936,21.1353474
"106",2010-02-08,"CSONGRÁD",17,46.7097618,20.1537305
"107",2010-02-08,"FEJÉR",34,47.0939434,18.6088562
"108",2010-02-08,"GYOR-MOSON-SOPRON",31,47.6610134,17.3796437
"109",2010-02-08,"HAJDÚ-BIHAR",46,47.4407848,21.4752281
"110",2010-02-08,"HEVES",35,47.7884409,20.1714412
"111",2010-02-08,"JÁSZ-NAGYKUN-SZOLNOK",67,47.2971598,20.453178
"112",2010-02-08,"KOMÁROM-ESZTERGOM",22,47.6511599,18.2551911
"113",2010-02-08,"NÓGRÁD",38,47.9873616,19.5472495
"114",2010-02-08,"PEST",129,47.4942216,19.0529846
"115",2010-02-08,"SOMOGY",25,46.439656,17.6212956
"116",2010-02-08,"SZABOLCS-SZATMÁR-BEREG",3,48.0297821,22.0040108
"117",2010-02-08,"TOLNA",21,46.4883447,18.5050005
"118",2010-02-08,"VAS",10,47.1371935,16.780898
"119",2010-02-08,"VESZPRÉM",75,47.0933824,17.9080406
"120",2010-02-08,"ZALA",7,46.6713343,16.8894692
"121",2010-02-15,"BUDAPEST",48,47.4978789,19.0402383
"122",2010-02-15,"BARANYA",127,45.9714436,18.1669246
"123",2010-02-15,"BÁCS-KISKUN",87,46.5809294,19.5128532
"124",2010-02-15,"BÉKÉS",9,46.7862993,20.9820736
"125",2010-02-15,"BORSOD-ABAÚJ-ZEMPLÉN",93,48.2397936,21.1353474
"126",2010-02-15,"CSONGRÁD",24,46.7097618,20.1537305
"127",2010-02-15,"FEJÉR",31,47.0939434,18.6088562
"128",2010-02-15,"GYOR-MOSON-SOPRON",46,47.6610134,17.3796437
"129",2010-02-15,"HAJDÚ-BIHAR",63,47.4407848,21.4752281
"130",2010-02-15,"HEVES",47,47.7884409,20.1714412
"131",2010-02-15,"JÁSZ-NAGYKUN-SZOLNOK",112,47.2971598,20.453178
"132",2010-02-15,"KOMÁROM-ESZTERGOM",34,47.6511599,18.2551911
"133",2010-02-15,"NÓGRÁD",11,47.9873616,19.5472495
"134",2010-02-15,"PEST",104,47.4942216,19.0529846
"135",2010-02-15,"SOMOGY",39,46.439656,17.6212956
"136",2010-02-15,"SZABOLCS-SZATMÁR-BEREG",42,48.0297821,22.0040108
"137",2010-02-15,"TOLNA",38,46.4883447,18.5050005
"138",2010-02-15,"VAS",26,47.1371935,16.780898
"139",2010-02-15,"VESZPRÉM",29,47.0933824,17.9080406
"140",2010-02-15,"ZALA",5,46.6713343,16.8894692
"141",2010-02-22,"BUDAPEST",124,47.4978789,19.0402383
"142",2010-02-22,"BARANYA",83,45.9714436,18.1669246
"143",2010-02-22,"BÁCS-KISKUN",102,46.5809294,19.5128532
"144",2010-02-22,"BÉKÉS",13,46.7862993,20.9820736
"145",2010-02-22,"BORSOD-ABAÚJ-ZEMPLÉN",63,48.2397936,21.1353474
"146",2010-02-22,"CSONGRÁD",32,46.7097618,20.1537305
"147",2010-02-22,"FEJÉR",37,47.0939434,18.6088562
"148",2010-02-22,"GYOR-MOSON-SOPRON",62,47.6610134,17.3796437
"149",2010-02-22,"HAJDÚ-BIHAR",76,47.4407848,21.4752281
"150",2010-02-22,"HEVES",20,47.7884409,20.1714412
"151",2010-02-22,"JÁSZ-NAGYKUN-SZOLNOK",83,47.2971598,20.453178
"152",2010-02-22,"KOMÁROM-ESZTERGOM",61,47.6511599,18.2551911
"153",2010-02-22,"NÓGRÁD",20,47.9873616,19.5472495
"154",2010-02-22,"PEST",113,47.4942216,19.0529846
"155",2010-02-22,"SOMOGY",39,46.439656,17.6212956
"156",2010-02-22,"SZABOLCS-SZATMÁR-BEREG",44,48.0297821,22.0040108
"157",2010-02-22,"TOLNA",18,46.4883447,18.5050005
"158",2010-02-22,"VAS",11,47.1371935,16.780898
"159",2010-02-22,"VESZPRÉM",42,47.0933824,17.9080406
"160",2010-02-22,"ZALA",2,46.6713343,16.8894692
"161",2010-03-01,"BUDAPEST",74,47.4978789,19.0402383
"162",2010-03-01,"BARANYA",101,45.9714436,18.1669246
"163",2010-03-01,"BÁCS-KISKUN",118,46.5809294,19.5128532
"164",2010-03-01,"BÉKÉS",15,46.7862993,20.9820736
"165",2010-03-01,"BORSOD-ABAÚJ-ZEMPLÉN",35,48.2397936,21.1353474
"166",2010-03-01,"CSONGRÁD",12,46.7097618,20.1537305
"167",2010-03-01,"FEJÉR",24,47.0939434,18.6088562
"168",2010-03-01,"GYOR-MOSON-SOPRON",38,47.6610134,17.3796437
"169",2010-03-01,"HAJDÚ-BIHAR",40,47.4407848,21.4752281
"170",2010-03-01,"HEVES",41,47.7884409,20.1714412
"171",2010-03-01,"JÁSZ-NAGYKUN-SZOLNOK",59,47.2971598,20.453178
"172",2010-03-01,"KOMÁROM-ESZTERGOM",22,47.6511599,18.2551911
"173",2010-03-01,"NÓGRÁD",9,47.9873616,19.5472495
"174",2010-03-01,"PEST",128,47.4942216,19.0529846
"175",2010-03-01,"SOMOGY",18,46.439656,17.6212956
"176",2010-03-01,"SZABOLCS-SZATMÁR-BEREG",77,48.0297821,22.0040108
"177",2010-03-01,"TOLNA",29,46.4883447,18.5050005
"178",2010-03-01,"VAS",4,47.1371935,16.780898
"179",2010-03-01,"VESZPRÉM",41,47.0933824,17.9080406
"180",2010-03-01,"ZALA",7,46.6713343,16.8894692
"181",2010-03-08,"BUDAPEST",116,47.4978789,19.0402383
"182",2010-03-08,"BARANYA",68,45.9714436,18.1669246
"183",2010-03-08,"BÁCS-KISKUN",86,46.5809294,19.5128532
"184",2010-03-08,"BÉKÉS",13,46.7862993,20.9820736
"185",2010-03-08,"BORSOD-ABAÚJ-ZEMPLÉN",54,48.2397936,21.1353474
"186",2010-03-08,"CSONGRÁD",17,46.7097618,20.1537305
"187",2010-03-08,"FEJÉR",61,47.0939434,18.6088562
"188",2010-03-08,"GYOR-MOSON-SOPRON",95,47.6610134,17.3796437
"189",2010-03-08,"HAJDÚ-BIHAR",109,47.4407848,21.4752281
"190",2010-03-08,"HEVES",26,47.7884409,20.1714412
"191",2010-03-08,"JÁSZ-NAGYKUN-SZOLNOK",98,47.2971598,20.453178
"192",2010-03-08,"KOMÁROM-ESZTERGOM",83,47.6511599,18.2551911
"193",2010-03-08,"NÓGRÁD",13,47.9873616,19.5472495
"194",2010-03-08,"PEST",124,47.4942216,19.0529846
"195",2010-03-08,"SOMOGY",25,46.439656,17.6212956
"196",2010-03-08,"SZABOLCS-SZATMÁR-BEREG",89,48.0297821,22.0040108
"197",2010-03-08,"TOLNA",13,46.4883447,18.5050005
"198",2010-03-08,"VAS",10,47.1371935,16.780898
"199",2010-03-08,"VESZPRÉM",36,47.0933824,17.9080406
"200",2010-03-08,"ZALA",5,46.6713343,16.8894692
"201",2010-03-15,"BUDAPEST",120,47.4978789,19.0402383
"202",2010-03-15,"BARANYA",135,45.9714436,18.1669246
"203",2010-03-15,"BÁCS-KISKUN",96,46.5809294,19.5128532
"204",2010-03-15,"BÉKÉS",17,46.7862993,20.9820736
"205",2010-03-15,"BORSOD-ABAÚJ-ZEMPLÉN",37,48.2397936,21.1353474
"206",2010-03-15,"CSONGRÁD",52,46.7097618,20.1537305
"207",2010-03-15,"FEJÉR",51,47.0939434,18.6088562
"208",2010-03-15,"GYOR-MOSON-SOPRON",64,47.6610134,17.3796437
"209",2010-03-15,"HAJDÚ-BIHAR",113,47.4407848,21.4752281
"210",2010-03-15,"HEVES",28,47.7884409,20.1714412
"211",2010-03-15,"JÁSZ-NAGYKUN-SZOLNOK",68,47.2971598,20.453178
"212",2010-03-15,"KOMÁROM-ESZTERGOM",43,47.6511599,18.2551911
"213",2010-03-15,"NÓGRÁD",11,47.9873616,19.5472495
"214",2010-03-15,"PEST",137,47.4942216,19.0529846
"215",2010-03-15,"SOMOGY",1,46.439656,17.6212956
"216",2010-03-15,"SZABOLCS-SZATMÁR-BEREG",2,48.0297821,22.0040108
"217",2010-03-15,"TOLNA",14,46.4883447,18.5050005
"218",2010-03-15,"VAS",3,47.1371935,16.780898
"219",2010-03-15,"VESZPRÉM",41,47.0933824,17.9080406
"220",2010-03-15,"ZALA",4,46.6713343,16.8894692
"221",2010-03-22,"BUDAPEST",101,47.4978789,19.0402383
"222",2010-03-22,"BARANYA",123,45.9714436,18.1669246
"223",2010-03-22,"BÁCS-KISKUN",110,46.5809294,19.5128532
"224",2010-03-22,"BÉKÉS",16,46.7862993,20.9820736
"225",2010-03-22,"BORSOD-ABAÚJ-ZEMPLÉN",145,48.2397936,21.1353474
"226",2010-03-22,"CSONGRÁD",41,46.7097618,20.1537305
"227",2010-03-22,"FEJÉR",72,47.0939434,18.6088562
"228",2010-03-22,"GYOR-MOSON-SOPRON",72,47.6610134,17.3796437
"229",2010-03-22,"HAJDÚ-BIHAR",86,47.4407848,21.4752281
"230",2010-03-22,"HEVES",25,47.7884409,20.1714412
"231",2010-03-22,"JÁSZ-NAGYKUN-SZOLNOK",92,47.2971598,20.453178
"232",2010-03-22,"KOMÁROM-ESZTERGOM",85,47.6511599,18.2551911
"233",2010-03-22,"NÓGRÁD",29,47.9873616,19.5472495
"234",2010-03-22,"PEST",190,47.4942216,19.0529846
"235",2010-03-22,"SOMOGY",34,46.439656,17.6212956
"236",2010-03-22,"SZABOLCS-SZATMÁR-BEREG",34,48.0297821,22.0040108
"237",2010-03-22,"TOLNA",26,46.4883447,18.5050005
"238",2010-03-22,"VAS",14,47.1371935,16.780898
"239",2010-03-22,"VESZPRÉM",83,47.0933824,17.9080406
"240",2010-03-22,"ZALA",2,46.6713343,16.8894692
"241",2010-03-29,"BUDAPEST",121,47.4978789,19.0402383
"242",2010-03-29,"BARANYA",112,45.9714436,18.1669246
"243",2010-03-29,"BÁCS-KISKUN",88,46.5809294,19.5128532
"244",2010-03-29,"BÉKÉS",11,46.7862993,20.9820736
"245",2010-03-29,"BORSOD-ABAÚJ-ZEMPLÉN",85,48.2397936,21.1353474
"246",2010-03-29,"CSONGRÁD",55,46.7097618,20.1537305
"247",2010-03-29,"FEJÉR",63,47.0939434,18.6088562
"248",2010-03-29,"GYOR-MOSON-SOPRON",93,47.6610134,17.3796437
"249",2010-03-29,"HAJDÚ-BIHAR",108,47.4407848,21.4752281
"250",2010-03-29,"HEVES",24,47.7884409,20.1714412
"251",2010-03-29,"JÁSZ-NAGYKUN-SZOLNOK",58,47.2971598,20.453178
"252",2010-03-29,"KOMÁROM-ESZTERGOM",55,47.6511599,18.2551911
"253",2010-03-29,"NÓGRÁD",26,47.9873616,19.5472495
"254",2010-03-29,"PEST",148,47.4942216,19.0529846
"255",2010-03-29,"SOMOGY",36,46.439656,17.6212956
"256",2010-03-29,"SZABOLCS-SZATMÁR-BEREG",30,48.0297821,22.0040108
"257",2010-03-29,"TOLNA",59,46.4883447,18.5050005
"258",2010-03-29,"VAS",13,47.1371935,16.780898
"259",2010-03-29,"VESZPRÉM",57,47.0933824,17.9080406
"260",2010-03-29,"ZALA",16,46.6713343,16.8894692
"261",2010-04-05,"BUDAPEST",160,47.4978789,19.0402383
"262",2010-04-05,"BARANYA",80,45.9714436,18.1669246
"263",2010-04-05,"BÁCS-KISKUN",108,46.5809294,19.5128532
"264",2010-04-05,"BÉKÉS",17,46.7862993,20.9820736
"265",2010-04-05,"BORSOD-ABAÚJ-ZEMPLÉN",52,48.2397936,21.1353474
"266",2010-04-05,"CSONGRÁD",11,46.7097618,20.1537305
"267",2010-04-05,"FEJÉR",34,47.0939434,18.6088562
"268",2010-04-05,"GYOR-MOSON-SOPRON",75,47.6610134,17.3796437
"269",2010-04-05,"HAJDÚ-BIHAR",54,47.4407848,21.4752281
"270",2010-04-05,"HEVES",15,47.7884409,20.1714412
"271",2010-04-05,"JÁSZ-NAGYKUN-SZOLNOK",52,47.2971598,20.453178
"272",2010-04-05,"KOMÁROM-ESZTERGOM",52,47.6511599,18.2551911
"273",2010-04-05,"NÓGRÁD",11,47.9873616,19.5472495
"274",2010-04-05,"PEST",143,47.4942216,19.0529846
"275",2010-04-05,"SOMOGY",23,46.439656,17.6212956
"276",2010-04-05,"SZABOLCS-SZATMÁR-BEREG",22,48.0297821,22.0040108
"277",2010-04-05,"TOLNA",35,46.4883447,18.5050005
"278",2010-04-05,"VAS",17,47.1371935,16.780898
"279",2010-04-05,"VESZPRÉM",39,47.0933824,17.9080406
"280",2010-04-05,"ZALA",6,46.6713343,16.8894692
"281",2010-04-12,"BUDAPEST",199,47.4978789,19.0402383
"282",2010-04-12,"BARANYA",140,45.9714436,18.1669246
"283",2010-04-12,"BÁCS-KISKUN",96,46.5809294,19.5128532
"284",2010-04-12,"BÉKÉS",28,46.7862993,20.9820736
"285",2010-04-12,"BORSOD-ABAÚJ-ZEMPLÉN",105,48.2397936,21.1353474
"286",2010-04-12,"CSONGRÁD",61,46.7097618,20.1537305
"287",2010-04-12,"FEJÉR",101,47.0939434,18.6088562
"288",2010-04-12,"GYOR-MOSON-SOPRON",78,47.6610134,17.3796437
"289",2010-04-12,"HAJDÚ-BIHAR",94,47.4407848,21.4752281
"290",2010-04-12,"HEVES",17,47.7884409,20.1714412
"291",2010-04-12,"JÁSZ-NAGYKUN-SZOLNOK",53,47.2971598,20.453178
"292",2010-04-12,"KOMÁROM-ESZTERGOM",39,47.6511599,18.2551911
"293",2010-04-12,"NÓGRÁD",26,47.9873616,19.5472495
"294",2010-04-12,"PEST",272,47.4942216,19.0529846
"295",2010-04-12,"SOMOGY",23,46.439656,17.6212956
"296",2010-04-12,"SZABOLCS-SZATMÁR-BEREG",39,48.0297821,22.0040108
"297",2010-04-12,"TOLNA",73,46.4883447,18.5050005
"298",2010-04-12,"VAS",32,47.1371935,16.780898
"299",2010-04-12,"VESZPRÉM",118,47.0933824,17.9080406
"300",2010-04-12,"ZALA",25,46.6713343,16.8894692
"301",2010-04-19,"BUDAPEST",147,47.4978789,19.0402383
"302",2010-04-19,"BARANYA",106,45.9714436,18.1669246
"303",2010-04-19,"BÁCS-KISKUN",238,46.5809294,19.5128532
"304",2010-04-19,"BÉKÉS",17,46.7862993,20.9820736
"305",2010-04-19,"BORSOD-ABAÚJ-ZEMPLÉN",79,48.2397936,21.1353474
"306",2010-04-19,"CSONGRÁD",39,46.7097618,20.1537305
"307",2010-04-19,"FEJÉR",75,47.0939434,18.6088562
"308",2010-04-19,"GYOR-MOSON-SOPRON",84,47.6610134,17.3796437
"309",2010-04-19,"HAJDÚ-BIHAR",81,47.4407848,21.4752281
"310",2010-04-19,"HEVES",12,47.7884409,20.1714412
"311",2010-04-19,"JÁSZ-NAGYKUN-SZOLNOK",47,47.2971598,20.453178
"312",2010-04-19,"KOMÁROM-ESZTERGOM",81,47.6511599,18.2551911
"313",2010-04-19,"NÓGRÁD",16,47.9873616,19.5472495
"314",2010-04-19,"PEST",214,47.4942216,19.0529846
"315",2010-04-19,"SOMOGY",33,46.439656,17.6212956
"316",2010-04-19,"SZABOLCS-SZATMÁR-BEREG",63,48.0297821,22.0040108
"317",2010-04-19,"TOLNA",26,46.4883447,18.5050005
"318",2010-04-19,"VAS",18,47.1371935,16.780898
"319",2010-04-19,"VESZPRÉM",71,47.0933824,17.9080406
"320",2010-04-19,"ZALA",13,46.6713343,16.8894692
"321",2010-04-26,"BUDAPEST",130,47.4978789,19.0402383
"322",2010-04-26,"BARANYA",116,45.9714436,18.1669246
"323",2010-04-26,"BÁCS-KISKUN",117,46.5809294,19.5128532
"324",2010-04-26,"BÉKÉS",18,46.7862993,20.9820736
"325",2010-04-26,"BORSOD-ABAÚJ-ZEMPLÉN",40,48.2397936,21.1353474
"326",2010-04-26,"CSONGRÁD",19,46.7097618,20.1537305
"327",2010-04-26,"FEJÉR",55,47.0939434,18.6088562
"328",2010-04-26,"GYOR-MOSON-SOPRON",70,47.6610134,17.3796437
"329",2010-04-26,"HAJDÚ-BIHAR",74,47.4407848,21.4752281
"330",2010-04-26,"HEVES",5,47.7884409,20.1714412
"331",2010-04-26,"JÁSZ-NAGYKUN-SZOLNOK",43,47.2971598,20.453178
"332",2010-04-26,"KOMÁROM-ESZTERGOM",49,47.6511599,18.2551911
"333",2010-04-26,"NÓGRÁD",19,47.9873616,19.5472495
"334",2010-04-26,"PEST",191,47.4942216,19.0529846
"335",2010-04-26,"SOMOGY",37,46.439656,17.6212956
"336",2010-04-26,"SZABOLCS-SZATMÁR-BEREG",22,48.0297821,22.0040108
"337",2010-04-26,"TOLNA",55,46.4883447,18.5050005
"338",2010-04-26,"VAS",18,47.1371935,16.780898
"339",2010-04-26,"VESZPRÉM",105,47.0933824,17.9080406
"340",2010-04-26,"ZALA",15,46.6713343,16.8894692
"341",2010-05-03,"BUDAPEST",175,47.4978789,19.0402383
"342",2010-05-03,"BARANYA",96,45.9714436,18.1669246
"343",2010-05-03,"BÁCS-KISKUN",167,46.5809294,19.5128532
"344",2010-05-03,"BÉKÉS",4,46.7862993,20.9820736
"345",2010-05-03,"BORSOD-ABAÚJ-ZEMPLÉN",82,48.2397936,21.1353474
"346",2010-05-03,"CSONGRÁD",28,46.7097618,20.1537305
"347",2010-05-03,"FEJÉR",78,47.0939434,18.6088562
"348",2010-05-03,"GYOR-MOSON-SOPRON",81,47.6610134,17.3796437
"349",2010-05-03,"HAJDÚ-BIHAR",71,47.4407848,21.4752281
"350",2010-05-03,"HEVES",42,47.7884409,20.1714412
"351",2010-05-03,"JÁSZ-NAGYKUN-SZOLNOK",34,47.2971598,20.453178
"352",2010-05-03,"KOMÁROM-ESZTERGOM",52,47.6511599,18.2551911
"353",2010-05-03,"NÓGRÁD",37,47.9873616,19.5472495
"354",2010-05-03,"PEST",243,47.4942216,19.0529846
"355",2010-05-03,"SOMOGY",33,46.439656,17.6212956
"356",2010-05-03,"SZABOLCS-SZATMÁR-BEREG",32,48.0297821,22.0040108
"357",2010-05-03,"TOLNA",17,46.4883447,18.5050005
"358",2010-05-03,"VAS",14,47.1371935,16.780898
"359",2010-05-03,"VESZPRÉM",101,47.0933824,17.9080406
"360",2010-05-03,"ZALA",20,46.6713343,16.8894692
"361",2010-05-10,"BUDAPEST",156,47.4978789,19.0402383
"362",2010-05-10,"BARANYA",115,45.9714436,18.1669246
"363",2010-05-10,"BÁCS-KISKUN",62,46.5809294,19.5128532
"364",2010-05-10,"BÉKÉS",27,46.7862993,20.9820736
"365",2010-05-10,"BORSOD-ABAÚJ-ZEMPLÉN",78,48.2397936,21.1353474
"366",2010-05-10,"CSONGRÁD",58,46.7097618,20.1537305
"367",2010-05-10,"FEJÉR",56,47.0939434,18.6088562
"368",2010-05-10,"GYOR-MOSON-SOPRON",59,47.6610134,17.3796437
"369",2010-05-10,"HAJDÚ-BIHAR",93,47.4407848,21.4752281
"370",2010-05-10,"HEVES",11,47.7884409,20.1714412
"371",2010-05-10,"JÁSZ-NAGYKUN-SZOLNOK",28,47.2971598,20.453178
"372",2010-05-10,"KOMÁROM-ESZTERGOM",43,47.6511599,18.2551911
"373",2010-05-10,"NÓGRÁD",20,47.9873616,19.5472495
"374",2010-05-10,"PEST",151,47.4942216,19.0529846
"375",2010-05-10,"SOMOGY",23,46.439656,17.6212956
"376",2010-05-10,"SZABOLCS-SZATMÁR-BEREG",12,48.0297821,22.0040108
"377",2010-05-10,"TOLNA",47,46.4883447,18.5050005
"378",2010-05-10,"VAS",9,47.1371935,16.780898
"379",2010-05-10,"VESZPRÉM",133,47.0933824,17.9080406
"380",2010-05-10,"ZALA",14,46.6713343,16.8894692
"381",2010-05-17,"BUDAPEST",185,47.4978789,19.0402383
"382",2010-05-17,"BARANYA",102,45.9714436,18.1669246
"383",2010-05-17,"BÁCS-KISKUN",160,46.5809294,19.5128532
"384",2010-05-17,"BÉKÉS",25,46.7862993,20.9820736
"385",2010-05-17,"BORSOD-ABAÚJ-ZEMPLÉN",65,48.2397936,21.1353474
"386",2010-05-17,"CSONGRÁD",17,46.7097618,20.1537305
"387",2010-05-17,"FEJÉR",65,47.0939434,18.6088562
"388",2010-05-17,"GYOR-MOSON-SOPRON",85,47.6610134,17.3796437
"389",2010-05-17,"HAJDÚ-BIHAR",68,47.4407848,21.4752281
"390",2010-05-17,"HEVES",42,47.7884409,20.1714412
"391",2010-05-17,"JÁSZ-NAGYKUN-SZOLNOK",37,47.2971598,20.453178
"392",2010-05-17,"KOMÁROM-ESZTERGOM",95,47.6511599,18.2551911
